Id,satisfaction_level,number_project,average_monthly_hours,time_spend_company_in_yrs,Work_accident,promotion_last_5years
14993,0.09,6,257,4,0,0
14994,0.4,2,155,3,0,1
14995,0.76,6,293,6,0,1
14996,0.4,2,151,3,0,1
14997,0.37,2,160,3,0,0
14998,0.37,2,143,3,0,1
14999,0.11,6,280,4,0,0
15000,0.37,2,158,3,0,0
15001,0.38,2,157,3,0,1
15002,0.8,5,262,6,0,1
15003,0.11,7,272,4,0,1
15004,0.72,5,223,5,0,0
15005,0.37,2,159,3,0,0
15006,0.41,2,153,3,0,0
15007,0.1,6,247,4,0,1
15008,0.92,5,259,5,0,1
15009,0.89,5,224,5,0,1
15010,0.42,2,142,3,0,1
15011,0.45,2,135,3,0,1
15012,0.11,6,305,4,0,1
15013,0.84,4,234,5,0,1
15014,0.41,2,148,3,0,1
15015,0.36,2,137,3,0,1
15016,0.38,2,143,3,0,0
15017,0.45,2,160,3,0,0
15018,0.78,4,255,6,0,0
15019,0.45,2,160,3,1,0
15020,0.76,5,262,5,0,0
15021,0.11,6,282,4,0,1
15022,0.38,2,147,3,0,1
15023,0.09,6,304,4,0,0
15024,0.46,2,139,3,0,0
15025,0.4,2,158,3,0,0
15026,0.89,5,242,5,0,0
15027,0.82,4,239,5,0,1
15028,0.4,2,135,3,0,1
15029,0.41,2,128,3,0,1
15030,0.38,2,132,3,0,1
15031,0.09,6,294,4,0,1
15032,0.45,2,134,3,0,0
15033,0.4,2,145,3,0,1
15034,0.45,2,140,3,0,1
15035,0.84,4,246,6,0,0
15036,0.1,6,255,4,0,1
15037,0.38,2,137,3,0,1
15038,0.45,2,126,3,0,0
15039,0.11,6,306,4,0,1
15040,0.41,2,152,3,0,1
15041,0.87,5,269,5,0,0
15042,0.45,2,158,3,0,1
15043,0.4,2,127,3,0,0
15044,0.1,7,281,4,0,0
15045,0.09,6,276,4,0,1
15046,0.84,3,182,4,0,0
15047,0.4,2,147,3,0,0
15048,0.57,3,273,6,0,0
15049,0.4,2,148,3,0,1
15050,0.43,2,147,3,0,0
15051,0.13,6,152,2,0,0
15052,0.44,2,135,3,0,1
15053,0.38,2,134,3,0,1
15054,0.39,2,132,3,0,1
15055,0.1,7,307,4,0,1
15056,0.37,2,140,3,0,1
15057,0.11,7,255,4,0,0
15058,0.1,6,309,4,0,1
15059,0.38,2,128,3,0,0
15060,0.85,4,225,5,0,0
15061,0.85,5,226,5,0,1
15062,0.11,7,308,4,0,0
15063,0.1,6,244,5,0,0
15064,0.36,2,132,3,0,0
15065,0.11,6,286,4,0,0
15066,0.81,6,161,4,0,0
15067,0.43,2,153,3,0,1
15068,0.9,4,264,6,0,0
15069,0.76,5,223,5,1,1
15070,0.43,2,135,3,0,0
15071,0.74,2,277,3,0,1
15072,0.09,5,275,4,0,0
15073,0.45,2,149,3,0,1
15074,0.09,7,295,4,0,1
15075,0.11,6,277,4,0,1
15076,0.11,7,306,4,0,1
15077,0.1,6,295,4,0,0
15078,0.4,2,137,3,0,1
15079,0.43,2,157,3,0,0
15080,0.39,2,142,3,0,1
15081,0.45,2,140,3,0,0
15082,0.38,2,151,3,0,1
15083,0.79,4,139,3,0,0
15084,0.84,4,249,6,0,0
15085,0.11,6,291,4,0,0
15086,0.11,6,305,4,0,1
15087,0.17,5,232,3,0,1
15088,0.44,2,132,3,0,0
15089,0.37,2,130,3,0,1
15090,0.1,6,291,4,0,0
15091,0.4,2,130,3,0,0
15092,0.89,5,246,5,0,0
15093,0.42,2,143,3,0,0
15094,0.46,2,129,3,0,0
15095,0.09,6,255,4,0,1
15096,0.37,2,155,3,0,1
15097,0.1,6,265,4,0,1
15098,0.1,6,279,4,0,1
15099,0.11,6,284,4,0,0
15100,0.9,5,221,6,0,0
15101,0.38,2,154,3,0,0
15102,0.36,2,147,3,0,1
15103,0.42,2,150,3,0,0
15104,0.09,7,267,4,0,0
15105,0.43,2,158,3,0,1
15106,0.24,7,224,5,0,1
15107,0.91,4,257,5,0,0
15108,0.44,2,148,3,0,1
15109,0.71,3,177,4,0,0
15110,0.4,2,155,3,0,0
15111,0.43,2,144,3,0,1
15112,0.09,6,289,4,0,1
15113,0.43,2,160,3,0,1
15114,0.9,4,258,5,0,1
15115,0.84,5,234,5,0,1
15116,0.37,2,137,3,0,0
15117,0.86,5,263,2,0,1
15118,0.11,6,251,4,0,1
15119,0.37,2,133,3,0,0
15120,0.4,2,132,3,0,1
15121,0.14,4,158,4,1,1
15122,0.4,2,135,3,0,0
15123,0.75,4,216,6,0,1
15124,0.11,6,300,5,1,1
15125,0.46,2,138,3,0,1
15126,0.11,6,260,4,0,0
15127,0.38,2,132,3,0,0
15128,0.7,3,183,5,0,0
15129,0.09,6,250,4,0,1
15130,0.37,2,151,3,0,0
15131,0.1,6,292,4,0,0
15132,0.38,2,140,3,0,1
15133,0.9,5,221,5,0,0
15134,0.44,2,138,3,0,0
15135,0.36,2,132,3,0,0
15136,0.31,7,133,5,0,1
15137,0.1,6,283,4,1,0
15138,0.42,2,129,3,0,1
15139,0.74,4,249,5,0,0
15140,0.73,5,257,5,0,0
15141,0.09,6,245,4,0,0
15142,0.45,2,155,3,0,1
15143,0.11,6,256,4,0,0
15144,0.37,2,152,3,0,1
15145,0.84,4,267,5,0,0
15146,0.41,2,151,3,0,0
15147,0.76,4,239,5,0,1
15148,0.11,6,306,4,0,0
15149,0.84,4,263,5,1,0
15150,0.39,2,147,3,0,0
15151,0.11,6,278,4,0,1
15152,0.45,2,154,3,0,1
15153,0.37,2,143,3,0,0
15154,0.4,2,155,3,0,0
15155,0.39,2,160,3,0,0
15156,0.11,6,304,4,0,0
15157,0.83,5,240,5,0,0
15158,0.11,6,305,4,0,1
15159,0.39,2,136,3,0,0
15160,0.45,2,132,3,0,1
15161,0.1,7,301,4,0,0
15162,0.9,5,243,6,0,1
15163,0.45,2,147,3,0,1
15164,0.79,5,239,5,0,1
15165,0.9,5,260,5,0,0
15166,0.11,7,296,4,0,0
15167,0.43,2,129,3,0,0
15168,0.31,5,132,5,0,1
15169,0.32,2,135,5,0,0
15170,0.45,2,158,3,0,1
15171,0.81,4,259,5,0,1
15172,0.41,2,160,3,0,1
15173,0.11,7,278,4,0,1
15174,0.1,6,284,4,0,0
15175,0.7,2,274,4,0,1
15176,0.54,4,164,2,0,1
15177,0.41,2,148,3,0,0
15178,0.38,2,140,3,0,0
15179,0.37,2,127,3,0,1
15180,0.11,6,308,5,0,1
15181,0.4,2,146,3,0,1
15182,0.1,6,261,4,0,1
15183,0.89,5,257,5,0,0
15184,0.11,6,285,4,0,1
15185,0.36,2,141,3,0,1
15186,0.4,2,127,3,0,1
15187,0.09,6,297,4,0,1
15188,0.4,2,143,3,0,0
15189,0.37,2,152,3,0,0
15190,0.44,2,156,3,0,1
15191,0.09,7,283,5,0,1
15192,0.92,4,226,6,1,1
15193,0.74,4,232,5,0,0
15194,0.09,6,249,4,0,0
15195,0.89,4,275,5,0,0
15196,0.09,6,304,4,0,1
15197,0.27,7,278,3,0,1
15198,0.1,6,287,4,0,0
15199,0.1,7,285,4,0,0
15200,0.77,5,226,6,0,0
15201,0.9,5,259,5,0,1
15202,0.39,2,135,3,0,1
15203,0.76,5,219,5,0,1
15204,0.1,6,256,4,0,0
15205,0.87,5,254,6,0,0
15206,0.38,2,153,3,0,0
15207,0.77,5,228,5,0,1
15208,0.78,4,228,5,0,0
15209,0.44,2,128,3,0,1
15210,0.38,2,153,3,0,0
15211,0.43,2,156,3,0,1
15212,0.39,4,294,3,0,1
15213,0.88,5,219,5,0,0
15214,0.45,2,153,3,0,1
15215,0.4,2,151,3,0,1
15216,0.36,2,155,3,0,1
15217,0.36,2,158,3,0,0
15218,0.9,5,245,5,0,1
15219,0.43,2,131,3,0,0
15220,0.89,5,225,5,0,0
15221,0.1,6,286,4,0,0
15222,0.37,2,135,3,0,1
15223,0.37,2,153,3,0,0
15224,0.87,5,252,5,0,0
15225,0.4,2,149,3,0,0
15226,0.9,4,258,5,0,0
15227,0.37,2,158,3,0,1
15228,0.44,2,149,3,0,1
15229,0.85,5,236,5,0,1
15230,0.78,5,239,6,0,0
15231,0.42,2,159,3,0,1
15232,0.92,5,255,6,0,1
15233,0.11,6,244,4,0,1
15234,0.42,2,134,3,0,1
15235,0.48,4,270,4,0,0
15236,0.83,4,255,5,0,0
15237,0.4,2,151,3,0,1
15238,0.43,2,135,3,0,1
15239,0.43,2,146,3,0,1
15240,0.1,7,254,4,0,1
15241,0.1,7,289,4,0,0
15242,0.37,2,156,3,0,1
15243,0.38,2,156,3,0,1
15244,0.4,2,128,3,0,1
15245,0.89,5,275,5,0,1
15246,0.45,2,155,3,0,0
15247,0.37,2,159,3,0,0
15248,0.46,2,148,3,0,1
15249,0.87,4,228,5,0,0
15250,0.11,6,298,4,0,1
15251,0.79,5,261,5,0,0
15252,0.79,5,254,6,0,1
15253,0.19,7,192,3,0,0
15254,0.87,4,248,5,0,0
15255,0.6,2,258,5,0,0
15256,0.44,2,156,3,0,0
15257,0.11,6,266,4,1,0
15258,0.42,2,156,3,0,0
15259,0.88,5,232,5,1,1
15260,0.11,6,287,4,0,0
15261,0.46,2,154,3,0,0
15262,0.82,5,263,5,0,0
15263,0.44,2,131,3,0,0
15264,0.11,6,260,4,0,0
15265,0.42,2,139,3,0,0
15266,0.84,4,251,5,0,1
15267,0.11,6,286,4,0,1
15268,0.45,2,129,3,0,0
15269,0.38,2,156,3,0,1
15270,0.38,6,139,6,0,1
15271,0.44,2,127,3,0,1
15272,0.11,6,251,4,0,1
15273,0.81,5,270,5,0,0
15274,0.09,6,296,4,0,0
15275,0.11,6,254,4,0,1
15276,0.81,5,238,6,0,1
15277,0.1,6,267,4,1,1
15278,0.74,5,229,6,0,1
15279,0.09,6,254,4,0,0
15280,0.82,4,233,4,1,0
15281,0.1,6,268,4,0,0
15282,0.27,3,301,3,0,1
15283,0.83,5,267,6,0,0
15284,0.1,6,289,4,1,1
15285,0.38,2,144,3,0,0
15286,0.4,2,148,3,0,0
15287,0.11,6,306,4,0,1
15288,0.11,6,292,4,0,0
15289,0.82,5,232,5,0,0
15290,0.36,2,137,3,0,0
15291,0.4,2,128,3,0,0
15292,0.87,5,231,5,0,0
15293,0.41,2,146,3,0,0
15294,0.11,6,308,4,1,1
15295,0.1,6,253,4,0,0
15296,0.38,2,146,3,0,0
15297,0.39,2,156,3,0,0
15298,0.4,2,147,3,0,0
15299,0.45,2,136,3,0,1
15300,0.74,5,249,5,0,0
15301,0.45,2,151,3,0,0
15302,0.12,3,278,4,0,0
15303,0.1,7,250,5,0,1
15304,0.37,2,127,3,0,0
15305,0.89,5,255,5,0,0
15306,0.45,2,135,3,0,1
15307,0.37,2,149,3,0,0
15308,0.11,5,287,4,0,1
15309,0.41,2,145,3,0,1
15310,0.1,6,285,4,0,0
15311,0.1,7,305,4,0,0
15312,0.11,7,300,4,0,1
15313,0.4,2,139,3,0,1
15314,0.41,2,130,3,0,0
15315,0.1,6,268,4,0,1
15316,0.73,4,245,6,0,1
15317,0.43,2,135,3,0,1
15318,0.37,2,153,3,0,1
15319,0.11,6,276,4,0,0
15320,0.4,2,130,3,0,1
15321,0.41,2,153,3,1,1
15322,0.82,5,244,5,0,0
15323,0.61,2,253,3,0,1
15324,0.11,7,287,4,0,0
15325,0.37,2,131,3,0,0
15326,0.41,2,135,3,0,0
15327,0.37,2,157,3,0,1
15328,0.88,5,262,6,0,1
15329,0.1,6,266,4,0,0
15330,0.44,2,148,3,0,1
15331,0.38,2,140,3,0,1
15332,0.11,7,302,4,0,1
15333,0.09,6,271,4,0,0
15334,0.45,2,145,3,0,1
15335,0.1,6,290,4,0,0
15336,0.45,2,151,3,0,0
15337,0.77,5,266,5,0,1
15338,0.44,2,140,3,0,1
15339,0.39,2,142,3,0,1
15340,0.1,6,246,4,0,1
15341,0.09,7,308,5,0,1
15342,0.37,2,141,3,0,1
15343,0.9,5,232,5,0,0
15344,0.41,2,143,3,0,0
15345,0.37,2,155,3,0,1
15346,0.1,6,278,4,0,1
15347,0.81,4,253,5,0,0
15348,0.11,6,282,4,0,0
15349,0.11,7,264,4,0,0
15350,0.4,2,149,3,0,1
15351,0.09,6,304,5,0,0
15352,0.48,3,219,6,0,1
15353,0.91,4,262,6,0,0
15354,0.43,2,135,3,0,0
15355,0.33,6,219,5,0,1
15356,0.41,2,136,3,0,1
15357,0.41,2,154,3,0,0
15358,0.37,2,149,3,0,1
15359,0.31,6,135,5,0,1
15360,0.09,6,275,4,0,0
15361,0.1,6,290,4,0,0
15362,0.76,4,263,5,0,1
15363,0.41,2,145,3,0,0
15364,0.72,5,267,5,0,0
15365,0.4,2,141,3,1,0
15366,0.91,4,235,5,0,0
15367,0.1,6,258,4,0,0
15368,0.4,2,131,3,0,1
15369,0.82,5,243,5,0,0
15370,0.1,6,266,4,0,0
15371,0.37,2,142,3,0,0
15372,0.36,2,135,3,0,0
15373,0.39,2,141,3,0,0
15374,0.36,2,142,3,0,1
15375,0.86,5,254,5,0,1
15376,0.73,5,262,5,0,0
15377,0.56,4,296,2,0,1
15378,0.44,2,158,3,0,0
15379,0.31,4,238,2,0,0
15380,0.77,4,231,5,0,1
15381,0.44,2,156,3,0,1
15382,0.38,2,145,3,0,1
15383,0.45,2,144,3,0,1
15384,0.38,2,159,3,0,0
15385,0.36,2,156,3,0,0
15386,0.75,5,256,5,0,0
15387,0.1,6,298,4,0,1
15388,0.1,6,247,4,0,0
15389,0.45,2,157,3,0,1
15390,0.42,2,154,3,1,0
15391,0.78,4,253,5,0,0
15392,0.45,2,148,3,0,0
15393,0.84,4,261,5,0,1
15394,0.11,6,282,4,0,0
15395,0.42,2,133,3,0,0
15396,0.45,2,128,3,0,1
15397,0.46,2,139,3,0,0
15398,0.09,6,293,5,0,1
15399,0.87,4,265,6,0,0
15400,0.1,6,250,4,0,1
15401,0.91,5,251,6,0,0
15402,0.76,4,246,5,0,0
15403,0.74,5,275,5,0,0
15404,0.92,5,240,5,0,1
15405,0.76,5,245,5,0,0
15406,0.47,4,254,4,0,1
15407,0.73,5,241,5,0,0
15408,0.09,6,257,4,0,1
15409,0.91,4,246,5,0,0
15410,0.82,4,233,5,0,0
15411,0.28,6,218,4,0,0
15412,0.84,4,262,6,0,0
15413,0.45,2,138,3,0,1
15414,0.45,2,142,3,0,1
15415,0.91,5,233,5,0,1
15416,0.42,2,155,3,0,0
15417,0.82,4,229,6,0,1
15418,0.11,6,264,4,0,1
15419,0.42,3,199,4,0,1
15420,0.82,4,223,5,0,0
15421,0.09,6,268,4,0,1
15422,0.1,6,287,4,0,1
15423,0.86,5,257,5,0,0
15424,0.4,2,143,3,0,0
15425,0.45,2,130,3,0,0
15426,0.42,2,136,3,0,1
15427,0.74,4,261,5,0,1
15428,0.55,3,180,4,0,1
15429,0.37,2,126,3,0,1
15430,0.41,2,127,3,1,1
15431,0.89,5,195,6,0,0
15432,0.41,2,160,3,0,0
15433,0.44,2,150,3,0,0
15434,0.87,4,264,6,0,1
15435,0.1,6,309,4,0,0
15436,0.41,2,135,3,0,0
15437,0.11,6,261,4,0,1
15438,0.43,2,160,3,0,0
15439,0.77,4,237,5,0,0
15440,0.41,2,136,3,0,0
15441,0.41,2,139,3,0,0
15442,0.36,2,151,4,0,1
15443,0.77,5,229,5,0,0
15444,0.81,5,245,5,0,0
15445,0.39,2,127,3,0,0
15446,0.09,6,283,5,0,1
15447,0.44,2,143,3,0,1
15448,0.1,5,298,4,0,1
15449,0.36,2,159,3,0,0
15450,0.81,5,239,5,0,1
15451,0.81,4,226,5,0,1
15452,0.85,5,248,5,0,0
15453,0.1,6,286,4,0,1
15454,0.37,2,145,3,0,0
15455,0.09,7,254,4,1,1
15456,0.44,2,127,3,0,0
15457,0.86,5,223,5,0,1
15458,0.77,4,255,5,0,0
15459,0.41,2,136,3,0,0
15460,0.4,2,137,3,0,0
15461,0.43,2,135,3,0,0
15462,0.43,2,137,3,0,1
15463,0.8,3,255,5,0,0
15464,0.8,4,273,5,0,1
15465,0.82,5,234,5,0,1
15466,0.37,2,152,3,0,0
15467,0.37,2,134,3,0,1
15468,0.09,6,292,4,0,0
15469,0.9,5,245,5,0,0
15470,0.41,2,159,3,0,1
15471,0.1,6,260,4,0,1
15472,0.44,2,149,3,0,0
15473,0.89,5,266,5,0,1
15474,0.42,2,149,3,0,1
15475,0.87,5,242,5,0,0
15476,0.45,2,134,3,0,1
15477,0.11,5,271,4,0,1
15478,0.09,6,275,4,0,0
15479,0.76,5,227,5,0,0
15480,0.11,7,277,5,0,1
15481,0.37,2,151,3,0,1
15482,0.1,6,274,4,0,1
15483,0.77,4,242,6,0,1
15484,0.42,2,143,3,1,0
15485,0.38,2,145,3,0,1
15486,0.32,5,172,2,0,0
15487,0.38,2,135,3,0,1
15488,0.19,4,192,4,0,0
15489,0.1,7,276,4,0,0
15490,0.76,4,206,4,0,1
15491,0.53,4,281,6,0,0
15492,0.39,2,151,3,0,0
15493,0.11,6,244,4,0,1
15494,0.1,6,309,4,0,0
15495,0.84,5,218,5,0,0
15496,0.82,4,263,6,0,1
15497,0.1,6,244,4,0,0
15498,0.59,7,263,4,0,1
15499,0.44,2,143,3,0,1
15500,0.89,2,181,5,0,0
15501,0.91,5,265,5,0,0
15502,0.66,5,161,5,0,1
15503,0.11,7,282,5,0,0
15504,0.43,2,155,3,0,1
15505,0.78,4,217,6,0,1
15506,0.11,6,289,5,0,0
15507,0.83,4,259,5,0,1
15508,0.39,2,158,3,0,1
15509,0.38,2,158,3,0,0
15510,0.37,2,155,3,0,1
15511,0.44,2,146,3,0,1
15512,0.53,2,164,5,0,0
15513,0.09,6,259,4,0,0
15514,0.11,6,293,4,0,1
15515,0.83,5,275,5,0,0
15516,0.88,5,219,6,1,1
15517,0.1,6,247,4,0,1
15518,0.09,7,309,4,0,0
15519,0.44,2,151,3,0,0
15520,0.39,2,129,3,0,1
15521,0.87,4,274,5,0,0
15522,0.74,4,233,5,0,0
15523,0.1,7,289,4,0,0
15524,0.74,4,239,6,0,0
15525,0.75,5,221,5,0,0
15526,0.41,2,150,3,0,1
15527,0.41,2,144,3,1,0
15528,0.09,7,289,4,0,1
15529,0.09,6,301,5,0,1
15530,0.39,2,145,3,0,0
15531,0.4,2,137,3,0,0
15532,0.37,2,131,3,1,0
15533,0.1,6,246,4,0,0
15534,0.43,2,136,3,0,1
15535,0.75,5,240,6,1,1
15536,0.37,2,156,3,0,0
15537,0.11,6,305,4,0,1
15538,0.45,2,154,3,1,0
15539,0.87,5,261,5,1,0
15540,0.11,7,244,4,0,0
15541,0.45,2,129,3,0,1
15542,0.81,4,254,5,0,1
15543,0.77,5,236,5,0,0
15544,0.89,5,237,5,0,1
15545,0.43,2,135,3,0,1
15546,0.78,5,236,5,0,0
15547,0.37,2,149,3,0,1
15548,0.37,2,141,3,0,1
15549,0.85,4,270,5,0,0
15550,0.41,2,138,3,0,1
15551,0.11,6,298,4,0,1
15552,0.75,5,254,5,0,1
15553,0.82,5,248,5,0,0
15554,0.79,5,257,6,0,1
15555,0.43,2,150,3,0,0
15556,0.1,7,281,4,0,1
15557,0.46,2,141,3,1,0
15558,0.43,2,157,3,0,1
15559,0.43,2,136,3,0,0
15560,0.11,7,296,4,0,1
15561,0.09,6,279,4,0,1
15562,0.37,2,131,3,0,0
15563,0.4,2,160,3,0,1
15564,0.1,7,291,4,0,0
15565,0.41,2,157,3,0,1
15566,0.79,3,294,4,0,0
15567,0.11,7,310,4,0,0
15568,0.1,6,282,4,0,0
15569,0.44,2,134,3,0,0
15570,0.25,4,214,4,0,1
15571,0.44,2,137,3,0,0
15572,0.73,4,252,5,0,1
15573,0.75,5,243,6,0,0
15574,0.36,2,148,3,0,1
15575,0.37,2,151,3,0,1
15576,0.39,2,129,3,0,1
15577,0.48,2,198,2,0,1
15578,0.57,4,275,6,0,0
15579,0.9,5,243,5,0,0
15580,0.39,2,159,3,0,1
15581,0.44,2,145,3,0,1
15582,0.81,5,242,5,0,1
15583,0.74,5,242,5,0,1
15584,0.44,2,145,3,0,0
15585,0.41,2,154,3,0,0
15586,0.4,2,139,3,0,0
15587,0.46,2,152,3,0,0
15588,0.8,2,211,3,0,1
15589,0.87,5,258,5,0,1
15590,0.39,2,155,3,0,0
15591,0.38,2,148,3,0,0
15592,0.66,2,255,3,0,1
15593,0.1,6,264,4,0,0
15594,0.37,2,132,3,0,0
15595,0.1,6,255,4,0,0
15596,0.09,5,263,4,0,0
15597,0.86,5,222,5,0,0
15598,0.11,6,263,4,0,1
15599,0.37,2,157,3,0,0
15600,0.11,7,307,4,0,0
15601,0.77,5,259,6,0,0
15602,0.84,5,222,6,0,1
15603,0.1,7,250,4,0,1
15604,0.83,5,245,5,0,0
15605,0.11,6,292,4,0,0
15606,0.86,5,252,5,0,0
15607,0.38,2,161,3,0,1
15608,0.11,5,250,4,0,0
15609,0.45,2,134,3,0,1
15610,0.1,7,279,4,0,0
15611,0.09,7,256,4,0,0
15612,0.39,2,127,3,0,0
15613,0.37,2,138,3,1,0
15614,0.81,5,243,5,0,0
15615,0.09,7,296,4,0,1
15616,0.1,7,267,4,0,0
15617,0.39,2,144,3,0,1
15618,0.83,4,251,5,0,0
15619,0.45,2,148,3,0,0
15620,0.43,2,141,3,0,0
15621,0.8,3,268,2,0,1
15622,0.1,6,247,4,0,0
15623,0.1,2,247,4,0,0
15624,0.36,2,146,3,0,1
15625,0.38,2,140,3,0,1
15626,0.78,5,263,6,0,0
15627,0.44,2,145,3,0,0
15628,0.41,2,156,3,1,1
15629,0.72,5,244,6,0,0
15630,0.46,2,144,3,0,0
15631,0.1,7,286,4,0,1
15632,0.34,4,141,2,0,1
15633,0.11,6,260,5,0,0
15634,0.38,2,154,3,0,1
15635,0.82,5,225,5,0,0
15636,0.39,2,127,3,0,1
15637,0.44,2,140,3,0,0
15638,0.43,2,147,3,0,1
15639,0.84,4,227,5,0,1
15640,0.43,2,153,3,0,0
15641,0.37,2,128,3,0,1
15642,0.74,4,228,5,0,1
15643,0.73,5,235,5,0,1
15644,0.37,2,148,3,0,0
15645,0.58,4,238,3,0,0
15646,0.4,2,141,3,0,0
15647,0.51,5,249,4,0,1
15648,0.46,2,151,3,0,0
15649,0.45,2,129,3,0,1
15650,0.46,2,156,3,0,0
15651,0.39,2,134,3,0,1
15652,0.09,6,269,4,0,0
15653,0.09,6,290,4,0,1
15654,0.37,2,132,3,0,1
15655,0.1,7,308,4,0,1
15656,0.77,4,232,5,0,1
15657,0.79,5,235,5,0,0
15658,0.43,2,130,3,0,1
15659,0.38,2,146,3,0,0
15660,0.77,5,221,6,0,1
15661,0.44,2,130,3,0,0
15662,0.39,2,136,3,0,1
15663,0.78,5,274,6,0,1
15664,0.1,6,256,5,0,1
15665,0.1,5,276,4,0,0
15666,0.75,5,267,5,0,1
15667,0.46,6,213,3,0,0
15668,0.91,4,274,6,0,1
15669,0.1,6,258,4,0,1
15670,0.72,3,153,5,0,1
15671,0.11,6,245,4,0,0
15672,0.11,6,264,4,0,1
15673,0.46,2,154,3,0,0
15674,0.37,2,149,3,0,0
15675,0.46,2,157,3,0,1
15676,0.43,2,127,3,0,0
15677,0.11,6,270,4,0,1
15678,0.73,5,236,6,0,1
15679,0.43,2,158,3,0,0
15680,0.86,5,229,5,0,0
15681,0.1,6,269,4,0,0
15682,0.4,2,128,3,0,1
15683,0.11,7,278,4,0,1
15684,0.86,3,158,5,0,0
15685,0.42,3,202,3,0,1
15686,0.79,4,240,5,0,1
15687,0.1,7,255,4,0,1
15688,0.09,7,254,4,0,1
15689,0.09,6,257,4,0,0
15690,0.87,4,228,5,0,0
15691,0.36,2,145,3,0,1
15692,0.42,3,218,4,0,1
15693,0.84,5,268,5,0,0
15694,0.1,6,278,4,0,1
15695,0.78,3,249,5,0,1
15696,0.35,3,236,4,0,1
15697,0.1,7,291,4,0,1
15698,0.11,6,306,4,0,1
15699,0.43,2,135,3,0,1
15700,0.38,2,156,3,0,0
15701,0.46,2,143,3,0,0
15702,0.89,4,243,5,0,1
15703,0.45,2,147,3,0,1
15704,0.44,2,159,3,0,0
15705,0.74,5,216,3,0,1
15706,0.45,2,152,3,0,0
15707,0.79,4,226,5,0,0
15708,0.79,5,271,5,0,0
15709,0.11,6,255,4,0,1
15710,0.42,2,140,3,0,1
15711,0.64,6,252,2,0,0
15712,0.4,2,159,3,0,1
15713,0.84,5,270,5,0,1
15714,0.73,5,232,5,0,1
15715,0.4,2,144,3,0,1
15716,0.36,2,127,3,0,1
15717,0.43,2,131,3,0,1
15718,0.11,6,243,4,0,0
15719,0.91,5,244,6,0,1
15720,0.8,5,260,5,0,0
15721,0.42,2,139,3,0,1
15722,0.31,4,184,3,0,1
15723,0.44,2,130,3,0,1
15724,0.38,2,135,3,0,0
15725,0.45,2,146,3,0,1
15726,0.43,2,149,3,0,1
15727,0.45,2,153,3,1,0
15728,0.43,2,160,3,0,0
15729,0.43,2,160,3,0,0
15730,0.09,6,282,4,0,1
15731,0.43,2,128,3,0,1
15732,0.79,4,232,5,0,1
15733,0.85,3,226,2,0,0
15734,0.38,2,129,3,0,1
15735,0.11,7,255,4,0,0
15736,0.83,5,258,5,0,0
15737,0.81,4,229,5,0,1
15738,0.42,2,143,3,0,1
15739,0.11,6,257,4,0,1
15740,0.11,7,275,4,0,0
15741,0.1,7,291,4,0,1
15742,0.5,5,153,4,0,1
15743,0.44,2,154,3,0,0
15744,0.11,6,301,4,0,1
15745,0.39,2,134,3,0,0
15746,0.11,6,245,4,0,1
15747,0.36,2,132,3,0,1
15748,0.43,2,130,3,0,0
15749,0.4,2,127,3,0,0
15750,0.86,4,246,6,0,0
15751,0.38,2,145,3,0,1
15752,0.46,2,138,3,0,1
15753,0.37,2,129,3,0,0
15754,0.43,2,150,3,0,0
15755,0.66,5,253,5,0,0
15756,0.37,2,160,3,0,1
15757,0.77,5,235,5,0,1
15758,0.38,2,151,3,0,1
15759,0.39,2,127,3,0,1
15760,0.41,2,151,3,0,0
15761,0.1,7,290,4,0,1
15762,0.09,6,249,4,0,0
15763,0.41,2,131,3,0,1
15764,0.39,2,159,3,0,0
15765,0.83,4,223,5,0,1
15766,0.09,3,214,2,0,0
15767,0.75,5,227,5,0,0
15768,0.44,2,127,3,0,0
15769,0.1,6,293,5,0,1
15770,0.42,2,141,3,0,1
15771,0.1,6,300,4,0,0
15772,0.1,6,309,4,0,0
15773,0.31,4,149,3,0,0
15774,0.42,2,159,3,0,1
15775,0.38,2,152,3,0,0
15776,0.39,2,158,3,0,1
15777,0.1,6,254,5,0,0
15778,0.11,6,294,4,0,1
15779,0.1,7,269,4,0,1
15780,0.11,7,247,4,0,0
15781,0.44,3,271,4,0,0
15782,0.91,4,232,5,0,0
15783,0.72,4,245,5,0,0
15784,0.36,2,132,3,0,0
15785,0.44,2,131,3,0,0
15786,0.85,5,248,5,0,0
15787,0.78,5,225,5,0,1
15788,0.39,2,156,3,0,0
15789,0.78,3,222,2,0,0
15790,0.1,6,243,4,1,0
15791,0.23,4,204,4,1,0
15792,0.11,6,301,4,0,1
15793,0.9,5,259,5,0,0
15794,0.91,4,247,5,0,1
15795,0.11,7,295,4,0,0
15796,0.43,2,150,3,0,1
15797,0.45,2,151,3,0,0
15798,0.11,5,291,4,0,1
15799,0.11,6,253,4,1,1
15800,0.43,2,161,3,0,0
15801,0.91,4,251,6,0,0
15802,0.43,2,153,3,0,1
15803,0.85,5,264,6,0,0
15804,0.1,6,310,4,0,1
15805,0.81,5,266,5,0,0
15806,0.36,4,237,2,0,0
15807,0.45,2,138,3,0,1
15808,0.86,5,227,5,0,1
15809,0.71,4,300,5,0,0
15810,0.11,7,310,4,0,0
15811,0.84,5,236,5,0,1
15812,0.09,7,288,4,0,0
